Name,Location
보연사,부산시 진구 개금동 633-24
보용포교원,서울 서초구 잠원동 8-29 동원빌딩 203호
보은사,경남 창원시 동읍 무성리 298
보은사,경북 청도군 각북면 삼평2리 676
보은사,경북 고령군 고령읍 2리 248번지
보타사,경남 마산시 진동면 사동리 294-33
보타사,서울시 양천구 목4동 803-27호
보타선원,서울시 강남구 청담동 16-5
보탑사,울산시 남구 선암동 34-1
보현사,대전시 동구 중동 51-17
보현사,충북 음성군 감곡면 상우3리 102번지
보현사,경남 고성군 고성읍 동회리
보현사,경남 진주시 장대로 10번길 10-1
보현사,경북 상주시 모동면 수봉리 620
보현사,경북 문경시 마성면 신현리 394번지
보현사,충남 금산군 군북면 내부2리 225-4
보현사,강원도 평창군 평창읍 주진리 113-2
보현사,경기도 용인시 처인구 고림동 194-1
보현사,경기도 안양시 만안구 석수2동 321-3번지
보현사,광주 남구 양과동 641
보현사,서울시 구로구 구로동 두산@201동 1910호
보현사,서울시 구로4동 738-40
보현사(관음정사),경남 진주시 상봉동 1069-20 상봉서동
보현암,서울시 은평구 불광동 17-694
보흥사,충북 제천시 연박2리 542번지
보흥사,충북 제천시 남천동 1115번지
보흥사,충북 제천시 화산동 714-2
복두암,경북 경주시 건천읍 송선1리 산 174
봉곡사,경남 거제시 동부면 학동리 516-3
봉국사,서울시 동작구 상도4동 214-425
봉국사,충북 충주시 교현1동 472-50
봉국사,강원도 양구군 양구읍 소양웅진길 146-7
봉덕사,전북 정읍시 모촌길 하모동 48-7
봉덕사,대구시 남구 봉덕1동 531-1
봉덕약사암,전북 정읍시 하모동 382-6
봉불사,경남 거창군 남하면 새마1길 101호
봉선사,경기도 여주군 대신면 옥촌1리 84
봉선사,경기도 남양주시 진접읍 부평리 255
봉원사,제주도 북제주군 애월읍 상귀리 264-1
봉원사,충남 공주시 신관동 607-13 3층
봉원사,제주도 제주시 연동 250-4
봉은사,경남 진주시 일반성면 남산리 1151
봉은사,경남 함안군 칠원면 구성리 산89
봉은사,경남 거제시 둔덕면 상둔리 114-1
봉은사,충남 천안시 동남구 동면 죽계리 1구 209-6
봉은사,부산시 수영구 광안3동 산 8-26번지
봉정사,전남 광양시 진월면 월길리 산 174-4
봉주사,인천시 동구 송림동 102-20
봉황사,서울시 은평구 구산동 308-94
봉황사,서울시 성북구 동소문동 7가 15-2
부산수덕사,부산 해운정사 금모선원
부용사,전남 장흥군 용산면 운주리 산 47-2
부용사,전남 해남군 북일면 흥촌리 산39번지
부처님 마을,경남 밀양시 삼문동 546-3
부처님마을,경남 밀양시 무안면 중산리 산 149
부처님마음선원,경기도 안산시 상록구 이동 716-4번지 305호
부학장,서울시 영등포구 대림3동 779-2
불감사포교당,울산시 중구 복산1동 445-3번지
불광사,서울시 용산구 이태원2동 563번지
불광사,대구광역시 북구 산격2동 1477-9
불광사,전북 군산시 서흥남 849-1 9/3
불광사,울산시 울주군 상북면 소호리 690-1
불광사,대구시 북구 칠성동 2가 400-45
불광사,인천시 남동구 간석동94-1 신아빌라 가동 B01호
불교의학연구소 가산선원,경북 청도군 풍각면 흑석리 368번지
불교회관,인천광역시 영정도 중산리 산 18번지
불국사,서울시 구로구 고척2동 167-64 안정하이츠 401호
불국사,경기도 시흥시 대야동 477-6
불국정사,전북 익산시 춘포면 쌍정리 587-5
불림사,경기도 광주시 경안동 79-3 인정빌딩 5층
불림사,대구광역시 북구 산격동 661번지 동광빌딩 4층
불림사수지포교원,경기도 용인시 수지구 풍덕천2동 1148-18
불마사,부산시 사하구 다대동 1548-11 몰운대A 201-1701
불생사,서울시 관악구 봉천6동 166-17
불심선원,서울시 광진구 중곡4동 72-12
불심정사,부산시 금정구 부곡동 296-6 LG빌라트 상가 103-201
불연사,서울시 동대문구 용두2동 119-31
불일암,경남 창녕군 대지면 왕산리 44번지
불임암,부산시 북구 금곡동 주공아파트 104동 104
불현사,전북 정읍시 칠보면 시산리 974
불현사,강원도 홍천군 서면 마곡리 191
불현사,서울시 구로구 고척2동 167-64 안정하이츠빌라 401
비로암,전남 함양군 마천면 구양리 산 26-3
비룡사,경기도 시흥시 범안로 390번길 26-22
비룡사,경기도 시흥시 계수동 250-5
사천왕사,서울시 노원구 상계6동 730-5 일신프라자 4층
삼계사,대구시 달성군 가창면 냉천리 241번지
삼광사,서울시 관악구 봉천9동 632
삼광율원,부산시 금정구 서3동 76-2 11/1
삼광율원,부산시 북구 만덕1동 826-17 12/1 279호
삼밀불원,울산시 울주군 범서읍 두산리 115-2
삼보사,울산시 남구 옥동 647
삼봉사,경기도 가평군 청평면 상천4리 528-5
삼불사,부산시 동대구 명륜1동 533-43
삼불사,경남 거창군 남상면 임불리 1834번지
삼불사,부산시 진구 부전1동 206-12번지
삼정사,전북 부안군 동진면 당상리 69
삼존사,대구시 수성구 만촌동 85-9
삼존사,대구시 수성구 황금동 759-4
삼화율원,서울시 송파구 가락1동 가락@ 59-510호
삼화율원,부산시 해운대구 우동 843 새천년@1103
삼화율원,경남 마산시 해운동 두산2차  APT201동 404호
삼화율원,부산시 남구 대현1동 1755-5번지 2층
삼화율원,경기도 양주시 만송동 은별마을 휴먼시아 602-301
삼화율원,경기도 시흥시 정왕동 1178-2 205호
삼화율원,경기도 고양시 덕양구 북한동 331 (대한불교조계종 노적사)
삼화율원,서울시 송파구 잠실 27 516-502
삼화율원,광주광역시 동구 성촌길 5길 35 (운림동 / 학운동)
삼화율원,경남 창원시 의창구 사림동 12-16
삼화율원,전북 전주시 송천동 신동비사빌@210동 807호
삼화율원,전북 장수군 산서면 오성리 524
삼화율원,경남 함안군 칠원면 구성리 산89
삼화율원,경남 통영시 광도면 죽림리 743번지
삼화율원,경남 진주시 상대1동 519-4
삼화율원,경남 의령군 의령읍 하리 산 840
삼화율원,경남 양산시 물금읍 528
삼화율원,경남 밀양시 내이동 673-13 5/6
삼화율원,경남 마산시 월영동 월영주공@614-546 111/201
삼화율원,경남 김해시 장유면 대청리 313-3 8층
삼화율원,경남 김해시 외동 676-16
삼화율원,경남 고성군 고성읍 교사리 44번지
삼화율원,경남 김해시 불암동 245 12/1
삼화율원,경북 의성군 단촌면 구계리 116
삼화율원,경북 경주시 건천읍 송선1리 산 174
삼화율원,경북 칠곡군 북삼읍 인평2리 564-8
삼화율원,경북 예천군 용문면 선리 521
삼화율원,경북 성주군 선남면 관화리 203
삼화율원,경북 군위군 의흥면 신덕2리 57번지
삼화율원,경북 구미시 선산읍 동부리 113-12번지
삼화율원,경북 경주시 안강읍 안강5리 354-7
삼화율원,충남 홍성군 구항면 오봉리 314-6
삼화율원,충남 부여군 부여읍 쌍북리 산1번지
삼화율원,충북 충주시 봉방동 42-19 3층
삼화율원,충북 충주시 금능동 255-3 금능빌라 나동 201호
삼화율원,충북 청주시 흥덕구 수곡1동 96-12
삼화율원,경기도 이천시 장호원읍 진암리 산 112
